0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,1
2,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
2,2
0,0
1,3
0,0
0,2
0,0
2,2
1,1
0,0
0,0
0,1
0,1
0,1
1,1
0,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,1
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,1
0,0
0,0
0,0
0,2
0,0
1,2
1,1
0,0
0,1
0,0
0,1
0,0
1,2
0,0
0,2
0,0
0,0
0,0
0,1
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,1
0,0
0,0
1,1
0,0
0,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,2
0,0
0,0
0,0
0,0
0,0
2,5
0,0
1,1
0,0
0,0
0,0
0,0
2,2
0,1
0,0
0,0
0,0
1,1
1,2
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
1,2
0,0
3,3
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
2,2
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,2
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,1
0,0
1,1
2,2
1,1
0,0
0,0
1,1
0,2
0,0
0,0
0,0
1,2
1,2
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,2
1,1
1,1
2,4
2,4
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,3
0,0
0,0
1,1
0,0
0,0
2,3
0,0
2,3
1,1
0,1
0,0
3,7
4,5
2,3
0,0
0,0
0,1
1,1
0,1
1,1
0,1
1,1
1,1
0,1
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,12
1,1
0,0
1,2
1,2
0,0
0,0
0,0
0,0
2,3
0,0
0,0
0,1
2,3
0,0
2,3
0,2
1,3
1,2
0,0
1,1
4,5
1,1
4,4
0,4
0,0
1,3
0,0
1,3
1,1
1,1
0,0
1,1
0,0
0,0
3,3
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,6
0,0
4,8
2,4
1,1
0,0
0,0
0,1
0,1
0,0
3,6
5,9
1,1
1,2
4,10
0,0
0,1
0,1
0,0
0,0
0,0
4,8
0,1
5,6
0,0
0,0
3,6
0,0
2,4
6,8
0,1
1,1
2,2
0,0
0,1
0,0
0,1
0,0
3,4
1,4
0,2
0,0
2,3
5,10
2,4
6,9
2,3
4,11
3,6
3,5
2,3
1,1
0,2
1,2
6,8
3,6
3,3
0,0
1,1
0,0
0,0
1,1
0,2
0,0
2,4
0,0
1,2
0,1
0,0
3,6
2,3
2,3
0,0
0,1
4,8
0,0
0,0
3,6
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
1,1
0,3
0,2
3,5
4,5
2,6
0,2
0,1
0,0
12,25
1,3
0,0
6,11
7,9
2,5
1,4
2,2
0,1
0,0
1,2
0,0
3,6
0,0
0,0
0,2
5,7
3,4
0,0
0,0
3,4
1,1
0,0
0,1
0,1
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,2
3,4
0,0
0,2
1,2
1,1
0,0
3,3
0,0
1,1
0,0
0,0
2,2
1,2
0,0
2,3
1,3
19,34
0,1
0,0
11,17
0,0
0,1
3,6
1,9
1,2
0,0
0,0
2,3
3,6
0,0
0,0
0,0
2,3
2,7
0,7
1,1
2,3
3,7
0,0
0,0
0,0
1,1
0,0
1,2
0,0
1,1
3,7
0,0
1,1
1,1
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
3,4
0,0
4,10
13,24
0,2
0,1
6,16
1,5
3,8
4,6
2,5
2,4
1,2
1,2
0,1
1,1
0,0
0,0
0,0
1,2
0,0
1,4
1,3
2,5
0,2
0,0
0,1
1,5
1,4
1,2
0,0
0,0
0,2
4,7
0,0
0,0
0,1
1,2
1,1
0,1
0,4
0,0
0,2
4,7
1,3
1,1
0,0
3,8
0,0
0,0
0,0
0,0
2,2
5,11
3,3
2,5
0,0
1,2
1,1
5,6
0,2
0,1
2,5
1,2
1,2
0,0
3,6
2,2
1,1
5,8
0,0
0,0
0,0
0,0
1,2
0,0
0,1
0,0
2,4
1,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,1
0,0
0,0
0,0
0,2
1,1
1,1
0,0
0,0
0,0
0,0
0,0
1,2
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
0,0
0,0
0,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
2,2
0,0
0,0
0,0
2,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,2
